순위,곡명,가수
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,Spicy,aespa
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,사랑은 늘 도망가,임영웅
8,모래 알갱이,임영웅
9,헤어지자 말해요,박재정
10,우리들의 블루스,임영웅
11,Hype boy,NewJeans
12,다시 만날 수 있을까,임영웅
13,무지개,임영웅
14,London Boy,임영웅
15,꽃,지수 (JISOO)
16,손오공,세븐틴 (SEVENTEEN)
17,이제 나만 믿어요,임영웅
18,Polaroid,임영웅
19,아버지,임영웅
20,Ditto,NewJeans
21,인생찬가,임영웅
22,A bientot,임영웅
23,손이 참 곱던 그대,임영웅
24,사랑해 진짜,임영웅
25,Cupid,FIFTY FIFTY
26,연애편지,임영웅
27,OMG,NewJeans
28,보금자리,임영웅
29,사건의 지평선,윤하 (YOUNHA)
30,Allergy,(여자)아이들
31,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
32,I Don't Think That I Like Her,Charlie Puth
33,Dangerously,Charlie Puth
34,Candy,NCT DREAM
35,Dynamite,방탄소년단
36,After LIKE,IVE (아이브)
37,Attention,NewJeans
38,물론,허각
39,Take Two,방탄소년단
40,LOVE DIVE,IVE (아이브)
41,Teddy Bear,STAYC(스테이씨)
42,심(心),DK(디셈버)
43,Butter,방탄소년단
44,사랑..그게 뭔데,지아
45,사랑하지 않아서 그랬어,임한별
46,사람 Pt.2 (feat. 아이유),Agust D
47,Like Crazy,지민
48,ANTIFRAGILE,LE SSERAFIM (르세라핌)
49,Broken Melodies,NCT DREAM
50,잠깐 시간 될까,이무진
51,봄날,방탄소년단
52,나에게 그대만이,탑현
53,HARD,SHINee (샤이니)
54,사랑인가 봐,멜로망스
55,Heaven(2023),임재현
56,Permission to Dance,방탄소년단
57,The Planet,방탄소년단
58,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
59,빛이 나는 너에게,던 (DAWN)
60,너의 모든 순간,성시경
61,NIGHT DANCER,imase
62,"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)",Fast & Furious: The Fast Saga
63,찬란한 하루,멜로망스
64,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
65,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
66,사랑의 바보,제이세라
67,첫 키스에 내 심장은 120BPM,경서
68,KNOCK,이채연
69,Thirsty,aespa
70,That's Hilarious,Charlie Puth
71,STAY,The Kid LAROI
72,사랑하지 않아서 그랬니,지아
73,TOMBOY,(여자)아이들
74,on the street (with J. Cole),j-hope
75,그중에 그대를 만나,김호중
76,Nxde,(여자)아이들
77,부동의 첫사랑,10CM
78,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
79,안녕이라고 말하지마,V.O.S
80,나의 바람 (Wind And Wish),비투비
81,해요 (2022),#안녕
82,취중고백,김민석 (멜로망스)
83,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
84,CHRISTIAN,Zior Park
85,한강에서 (Feat. BIG Naughty),폴킴
86,사랑하기 싫어,지아
87,FRIEND THE END,볼빨간사춘기
88,Hate Rodrigo (Feat. 우기 ((여자)아이들)),YENA (최예나)
89,Monologue,테이
90,그라데이션,10CM
91,다정히 내 이름을 부르면,경서예지
92,LOCKDOWN,이세계아이돌
93,ELEVEN,IVE (아이브)
94,Love Me Like This,NMIXX
95,Shut Down,BLACKPINK
96,FEARLESS,LE SSERAFIM (르세라핌)
97,내가 아니라도,주호
98,당신을 만나,김호중
99,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
100,나의 목소리로,김호중
